pred_id,amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,predator_latin_name,species,pred_weight_g,pred_length_cm,year,quarter,month,ices_rect,subdiv,haul_id,smhi_serial_no,X,Y,lat,lon,fle_kg_km2,mcod_kg_km2,scod_kg_km2,date,bottom_depth,group,depth,density_saduria,oxy
2015_4_COD_201,1.4999999999999998,0,0,0,0,0,0.49,0,0,0,0,0,0,0.74,0,Gadus morhua,Cod,321,31,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_203,0.5,0,0,0,0,0,0.12,0,0,0,0,0,0,0.51,0,Gadus morhua,Cod,110,22,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_207,0,0,0,21.15,0,0,0.35,0,0,0,0,0,0,0.07,0,Gadus morhua,Cod,608,40,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_21,0,0,0,0,0,0,0.13,0,0.26999999999999985,0,0,0,0.43,0,0,Gadus morhua,Cod,235,32,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gadus morhua,Cod,1123,50,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_212,0,0,3.47,6.55,0,0,0.55,0,0,0,0.48,0,0,0.39,0,Gadus morhua,Cod,684,41,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_213,0,0,0,58.75,0,0,0.07,0,0,0,2.14,0,0,0,0,Gadus morhua,Cod,640,42,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,832,45,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_222,0,0,0,0,0,0,0.22,0,0,0.08,0,0,0,0.12999999999999995,0,Gadus morhua,Cod,135,24,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_229,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,35,16,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
