"","FR_tot","FR_sad","FR_spr","saduria_entomon_tot","tot_prey_biom","common_tot","unique_pred_id","year","quarter","pred_weight_g","pred_cm","predator_spec","predcod_density","predfle_density","predcod_density_sc","predfle_density_sc","depth","X","Y","lat","long","ices_rect","SubDiv","cruise"
"2036",0.00882956878850103,0.0080082135523614,0,0.39,0.43,0.43,"2020_1_72_1229_FLE",2020,1,49.13,17,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,33,650.380930504093,6217.98688157288,56.0833333333333,17.4166666666667,"41G7","25","BITS"
"2037",0.0185305480529249,0.00348729871106704,0,1.02,5.42,1.02,"2020_1_73_1230_FLE",2020,1,297.91,31,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2038",0.0194585055496215,0,0,0,4.19,0,"2020_1_73_1231_FLE",2020,1,219.52,28,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2039",0.0587380990802001,0,0,0,10.92,0,"2020_1_73_1232_FLE",2020,1,196.83,27,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2040",0.0412494651262302,0.0030808729139923,0,0.36,4.82,0.36,"2020_1_73_1233_FLE",2020,1,121.67,23,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2041",0.0162464162317136,0,0,0,2.21,0,"2020_1_73_1235_FLE",2020,1,138.24,24,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2042",0.00380538883922871,0.00380538883922871,0,1.49,1.49,1.49,"2020_1_73_1236_FLE",2020,1,393.04,34,"FLE",2397.60597710075,51.828283189349,2.86763258173191,-0.410178987805098,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2043",0.0289414842003122,0,0,0,6.86,0,"2020_1_73_1237_FLE",2020,1,243.89,29,"FLE",50.3190133212142,96.6890968131837,-0.615906440256613,0.185469534877738,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2044",0.0126173877974304,0.00368727314628104,0,0.64,2.19,0.64,"2020_1_73_1240_FLE",2020,1,175.76,26,"FLE",50.3190133212142,96.6890968131837,-0.615906440256613,0.185469534877738,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
"2045",0.0150954565635637,0.00162794139410981,0,0.11,1.02,0.11,"2020_1_73_1244_FLE",2020,1,68.59,19,"FLE",50.3190133212142,96.6890968131837,-0.615906440256613,0.185469534877738,56,591.823064590489,6190.35788813024,55.85,16.4666666666667,"40G6","25","BITS"
